Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\ethGitlab\sensei-wulpus-shield\hw\wulpus_pro_acq_pcb_dev_board\Project Outputs for wulpus_pro_acq_pcb\Pick Place\Pick Place for wulpus_pro_acq(pzt_hia_no_bias).txt

========================================================================================================================
File Design Information:

Date:       27.05.26
Time:       13:31
Revision:   dac888c8aeea61f824c052da7adf19988fcd2d27
Variant:    pzt_hia_no_bias
Units used: mm

Designator Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                 
C16        C0402C104K4RACTU          BottomLayer CAPC1005X55X30LL05T10           -5.4250      0.6500       90       C0402C104K4RACTU                                                                                                                                            
C12        C1005X7S1A225K050BC       BottomLayer FP-C1005-050-0_15-0_1-MFG       -4.5250      0.6750       270      C1005X7S1A225K050BC                                                                                                                                         
C14        GRM188R60J476ME01D        BottomLayer FP-GRM188-0_2-MFG               -20.0750     8.6000       90       GRM188R60J476ME01D                                                                                                                                          
FB3        BLM18SP101SH1D            BottomLayer FP-BLM18-0_15-t0_8-MFG          -28.4750     8.0250       90       "BLM18SP101SH1D Ferrite Beads Multi-Layer 100Ohm 25% 100MHz 3.7A 0.022Ohm DCR 0603 Automotive T/R"                                                          
C64        GRM155Z71A105KE01D        BottomLayer FP-GRM155-0_1-IPC_C             -30.0000     6.9500       270      GRM155Z71A105KE01D                                                                                                                                          
R40        ERJ-2RKF4322X             BottomLayer ERJ2RKD1004X                    -6.5748      -7.8487      270      ERJ-2RKF4322X                                                                                                                                               
R42        ERJ-2RKF1004X             BottomLayer ERJ2RKD1004X                    -4.0262      -3.3501      270      ERJ-2RKF1004X                                                                                                                                               
R39        ERJ-2RKF1004X             BottomLayer ERJ2RKD1004X                    -7.4500      -7.8250      270      ERJ-2RKF1004X                                                                                                                                               
R8         CRCW04020000Z0ED          BottomLayer FP-CRCW0402-e3-IPC_C            -2.4250      6.0250       180      CRCW04020000Z0ED                                                                                                                                            
R13        CRCW040251R0JNED          TopLayer    FP-CRCW0402-e3-IPC_C            -11.3250     -0.3500      0        CRCW040251R0JNED                                                                                                                                            
C38        GRM1555C1H102JA01D        TopLayer    FP-GRM155-0_05-IPC_B            -16.7750     1.3250       180      GRM1555C1H102JA01D                                                                                                                                          
R31        CRCW04021M00FKED          BottomLayer FP-CRCW0402-e3-MFG              -19.2500     -0.5000      90       "RES Thick Film, 1MO, 1%, 0.063W, 100ppm/°C, 0402"                                                                                                          
R32        CRCW04021M00FKED          BottomLayer FP-CRCW0402-e3-MFG              -18.2500     -0.5000      90       "RES Thick Film, 1MO, 1%, 0.063W, 100ppm/°C, 0402"                                                                                                          
L1         742792040                 TopLayer    SMD-0805                        -14.3500     -3.6750      90       "SMD EMI Suppression Ferrite Bead WE-CBF, Z = 600 Ohm"                                                                                                      
C42        GRM188R60J476ME01D        TopLayer    FP-GRM188-0_2-MFG               -16.0000     -3.1250      270      GRM188R60J476ME01D                                                                                                                                          
C41        GRM1555C1H102JA01D        TopLayer    FP-GRM155-0_05-IPC_B            -16.8000     -0.8000      0        GRM1555C1H102JA01D                                                                                                                                          
C40        GRM1555C1H102JA01D        TopLayer    FP-GRM155-0_05-IPC_B            -17.1500     -2.2250      90       GRM1555C1H102JA01D                                                                                                                                          
C39        GRM188R60J476ME01D        TopLayer    FP-GRM188-0_2-MFG               -14.5500     -0.9500      180      GRM188R60J476ME01D                                                                                                                                          
U11        HV2707T-C/R8X             TopLayer    LQFP48_7X7MC_MCH                0.0000       0.0000       270      "16-CH 200V No Hv Bias Switch (SPST), 2 Bleed Resistor 48 LQFP 7X7X1.4MM T/r Rohs Compliant: Yes"                                                           
